Name Currency,Price,+/-,%,market cap,circulating supply,Volume,Last Updated
Bitcoin,"69,493.9065",340.07,0.49%,"1,369.17 B","19,702,053",31.13 B,12:56:00 AM
Ethereum,"3,790.8646",52.14,1.39%,455.40 B,"120,129,946",24.15 B,12:55:00 AM
Tether,0.9995,0.00,0.00%,111.69 B,"111,752,623,507",72.60 B,12:55:00 AM
Binance Coin,616.2573,1.78,0.29%,90.95 B,"147,585,994",2.09 B,12:55:00 AM
Solana,178.1153,1.32,0.75%,80.02 B,"449,283,320",3.75 B,12:55:00 AM
Lido stETH,"3,785.6713",47.76,1.28%,35.25 B,"9,310,517",208.21 M,12:55:00 AM
USD Coin,1.0001,0.00,0.03%,33.01 B,"33,011,966,088",7.88 B,12:55:00 AM
Ripple,0.5289,0.00,0.46%,29.24 B,"55,288,951,055",1.14 B,12:56:00 AM
Dogecoin,0.1671,0.00,0.64%,24.13 B,"144,404,016,384",1.64 B,12:56:00 AM
Toncoin,6.5341,-0.01,-0.08%,22.70 B,"3,474,583,594",347.87 M,12:55:00 AM
Cardano,0.4871,0.00,0.84%,17.38 B,"35,684,596,479",389.75 M,12:55:00 AM
Avalanche,39.9777,0.02,0.04%,15.70 B,"392,804,106",553.10 M,12:55:00 AM
SHIBA INU,0.0000,0.00,0.91%,15.04 B,"589,271,875,539,946",683.65 M,12:55:00 AM
Polkadot,7.5910,0.14,1.88%,10.92 B,"1,437,953,431",221.79 M,12:56:00 AM
Wrapped Bitcoin,"69,599.4138",341.99,0.49%,10.82 B,"155,477",354.40 M,12:55:00 AM
Wrapped TRON,0.1196,0.00,-0.67%,10.45 B,"87,422,775,793",1.90 M,12:56:00 AM
Tron,0.1193,0.00,-0.62%,10.43 B,"87,422,813,735",296.78 M,12:55:00 AM
Bitcoin Cash,511.3347,12.49,2.50%,10.08 B,"19,709,434",450.22 M,12:55:00 AM
Chainlink,16.4304,0.09,0.56%,9.65 B,"587,099,970",487.85 M,12:55:00 AM
NEAR Protocol,8.0852,0.12,1.44%,8.72 B,"1,078,471,968",749.51 M,12:56:00 AM
Polygon,0.7357,0.01,1.74%,7.29 B,"9,906,946,308",373.34 M,12:55:00 AM
