,Name,Symbol,Last,Chg. %,Vol.,Time,
,VelocityShares 3x Long Crude S&P GSCI ER,UWT,12.250,0.00%,0,15/06,
,VelocityShares Daily 2x VIX Short Term ETN linked,TVIX,112.36,0.00%,0,02/07,
,United States Oil,USO,74.87,-1.69%,2.21M,15:59:59,
,iShares MSCI Japan,EWJ,68.02,-1.16%,4.19M,15:59:59,
,VelocityShares 3x Long Natural Gas linked to S&P G,UGAZF,0.07,0.00%,0,31/10,
,Invesco QQQ Trust,QQQ,455.71,-0.02%,22.90M,16:00:59,
,SPDR S&P 500,SPY,529.83,-0.29%,45.96M,15:59:59,
,Direxion Daily Gold Miners Index Bull 2X Shares,NUGT,42.14,-8.05%,2.58M,15:59:59,
,VanEck Vectors Russia,RSX,5.65,0.00%,0,11/01,
,iShares MSCI Emerging Markets,EEM,43.22,-0.32%,22.95M,15:59:59,
,Utilities Select Sector SPDR,XLU,72.01,-1.18%,10.49M,15:59:59,
,VanEck Vectors Gold Miners,GDX,35.45,-4.01%,36.41M,15:59:59,
,SPDR S&P Oil & Gas Exploration & Production,XOP,149.71,-1.50%,4.69M,15:59:59,
,VelocityShares 3x Inverse Natural Gas linked to S&,DGAZF,25.21,0.00%,0,15/06,
,Technology Select Sector SPDR,XLK,215.14,+0.22%,5.85M,15:59:59,
,Direxion Daily Gold Miners Bear 3X Shares,DUST,7.24,+8.22%,12.68M,15:59:59,
,iShares MSCI Eurozone,EZU,51.92,-0.84%,2.27M,15:59:59,
,Financial Select Sector SPDR,XLF,41.94,-0.57%,38.37M,15:59:59,
,WisdomTree Europe Hedged Equity,HEDJ,47.67,-0.42%,152.04K,15:59:59,
,Direxion Daily Junior Gold Miners Bear 2X Shares,JDST,3.520,+8.31%,13.70M,15:59:59,
,iShares Russell 2000,IWM,206.58,-0.84%,20.44M,15:59:59,
,Vanguard FTSE Developed Markets,VEA,50.56,-0.94%,7.25M,15:59:59,
,iShares MSCI Brazil Capped,EWZ,30.87,-1.81%,22.18M,15:59:59,
,iShares China Large-Cap,FXI,28.20,-1.26%,41.62M,15:59:59,
,WisdomTree Japan Hedged Equity,DXJ,108.68,-1.07%,431.96K,15:59:59,
,Xtrackers MSCI EAFE Hedged Equity,DBEF,41.81,-0.67%,489.29K,15:59:59,
,Energy Select Sector SPDR,XLE,92.08,-1.92%,17.41M,15:59:59,
,ProShares Ultra VIX Short-Term Futures,UVXY,25.44,+3.04%,9.32M,15:59:59,
,VanEck Vectors Junior Gold Miners,GDXJ,44.78,-4.40%,8.31M,15:59:59,
,iShares MSCI EAFE,EFA,80.80,-0.94%,10.69M,15:59:59,
,WisdomTree India Earnings,EPI,46.17,+0.13%,677.32K,15:59:59,
,Alerian MLP,AMLP,45.94,-1.80%,1.23M,15:59:59,
,iShares US Home Construction,ITB,104.55,-2.69%,2.21M,15:59:59,
,SPDR S&P Homebuilders,XHB,104.70,-2.29%,3.13M,15:59:59,
,ProShares UltraPro Short QQQ,SQQQ,9.73,+0.21%,80.12M,16:00:59,
,SPDR S&P Regional Banking,KRE,49.91,-1.21%,8.85M,15:59:59,
,ProShares Ultra Bloomberg Crude Oil,UCO,30.75,-3.36%,2.19M,15:59:59,
