,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Spain 1M,3.909,3.832,3.905,3.779,+0.077,+2.01%,13:00:04,
,Spain 3M,3.704,3.662,3.700,3.653,+0.043,+1.16%,13:00:04,
,Spain 6M,3.489,3.514,3.528,3.472,-0.025,-0.73%,13:24:08,
,Spain 9M,3.499,3.518,3.523,3.482,-0.019,-0.54%,13:37:38,
,Spain 1Y,3.434,3.436,3.461,3.420,-0.002,-0.06%,13:24:08,
,Spain 2Y,3.221,3.226,3.256,3.211,-0.004,-0.14%,15:59:34,
,Spain 3Y,3.091,3.103,3.120,3.091,-0.012,-0.39%,15:59:34,
,Spain 4Y,3.007,3.006,3.025,2.990,+0.002,+0.05%,13:00:04,
,Spain 5Y,3.018,3.017,3.039,3.004,+0.001,+0.03%,15:59:34,
,Spain 6Y,3.016,3.016,3.038,3.001,0.000,0.00%,13:00:04,
,Spain 7Y,3.059,3.071,3.094,3.056,-0.011,-0.37%,13:00:07,
,Spain 8Y,3.121,3.131,3.156,3.118,-0.010,-0.32%,12:59:37,
,Spain 9Y,3.210,3.208,3.233,3.196,+0.002,+0.06%,15:59:34,
,Spain 10Y,3.299,3.299,3.326,3.286,0.001,0.00%,15:59:34,
,Spain 15Y,3.616,3.616,3.640,3.602,0.001,0.00%,15:59:34,
,Spain 20Y,3.747,3.747,3.770,3.734,0.000,0.00%,15:59:34,
,Spain 25Y,3.777,3.779,3.801,3.762,-0.002,-0.04%,13:00:04,
,Spain 30Y,3.914,3.918,3.940,3.904,-0.004,-0.11%,15:59:34,
