,Name,Last,High,Low,Chg.,Chg. %,Time
,Dow Jones,"39,671.04","39,890.91","39,559.09",-201.95,-0.51%,22/05
,S&P 500 derived,"5,307.01","5,323.18","5,286.01",-14.40,-0.27%,22/05
,Nasdaq,"16,801.54","16,855.27","16,712.09",-31.08,-0.18%,22/05
,Small Cap 2000 derived,"2,080.45","2,095.95","2,071.25",-17.90,-0.85%,22/05
,S&P 500 VIX derived,11.53,12.29,11.52,-0.76,-6.18%,03:20:01
,S&P/TSX,"22,346.76","22,439.11","22,283.49",-121.40,-0.54%,22/05
,Bovespa,"125,650","127,412","125,524","-1,762",-1.38%,22/05
,S&P/BMV IPC,"56,432.03","56,656.63","56,148.63",-328.69,-0.58%,22/05
,MSCI World,"3,467.12","3,467.41","3,463.21",+1.57,+0.05%,03:21:00
,DAX derived,"18,735.25","18,747.75","18,699.75",+53.14,+0.28%,03:21:35
,FTSE 100 derived,"8,361.55","8,372.45","8,357.45",-8.78,-0.10%,03:21:13
,CAC 40,"8,114.99","8,118.68","8,104.31",+22.88,+0.28%,03:21:00
,Euro Stoxx 50 derived,"5,052.15","5,052.15","5,038.55",+26.98,+0.54%,03:21:13
,AEX,916.67,916.73,915.08,+6.15,+0.68%,03:21:00
,IBEX 35 derived,"11,335.50","11,339.99","11,317.50",+6.50,+0.06%,03:21:13
,FTSE MIB derived,"34,537.00","34,596.00","34,489.00",+76.48,+0.22%,03:21:13
,SMI derived,"11,980.80","11,982.80","11,943.81",+32.78,+0.27%,03:21:09
,PSI,"6,961.60","6,975.06","6,933.69",+11.49,+0.17%,03:21:00
,BEL 20 derived,"3,994.90","3,995.20","3,980.20",-2.50,-0.06%,03:21:15
,ATX,"3,749.77","3,758.61","3,746.75",-9.10,-0.24%,03:06:00
,OMXS30,"2,642.60","2,646.95","2,637.46",+8.10,+0.31%,03:21:42
,OMXC25,"1,986.25","1,987.02","1,978.73",+4.89,+0.25%,03:21:05
,MOEX,"3,426.41","3,436.81","3,418.59",-18.23,-0.53%,03:21:09
,RTSI,"1,195.18","1,198.95","1,192.43",-8.42,-0.70%,03:21:16
,WIG20,"2,541.62","2,548.88","2,537.52",-11.08,-0.43%,03:21:00
,Budapest SE,"67,957.08","68,305.42","67,505.03",0.00,0.00%,22/05
,BIST 100,"10,911.25","10,912.11","10,868.11",+11.97,+0.11%,03:06:10
,TA 35,"1,978.97","1,982.37","1,978.75",+7.75,+0.39%,03:21:02
,Tadawul All Share,"12,131.14","12,156.20","12,127.16",-25.89,-0.21%,03:06:22
,Nikkei 225 derived,"39,112.00","39,143.50","38,620.50",+494.00,+1.28%,02:00:01
,S&P/ASX 200,"7,811.80","7,848.10","7,764.60",-36.30,-0.46%,02:04:59
,DJ New Zealand,331.93,332.60,323.83,+7.22,+2.22%,03:21:00
,Shanghai,"3,116.39","3,150.63","3,110.28",-42.15,-1.33%,03:21:06
,SZSE Component,"9,541.64","9,672.18","9,520.21",-151.41,-1.56%,03:05:57
,China A50,"12,720.43","12,819.92","12,691.01",-99.49,-0.78%,03:00:00
,DJ Shanghai,427.88,433.35,426.21,-5.47,-1.26%,02:26:00
,Hang Seng derived,"18,923.00","19,035.00","18,777.00",-272.60,-1.42%,03:21:12
,Taiwan Weighted,"21,551.83","21,567.48","21,248.99",+315.08,+1.48%,22/05
,SET,"1,369.89","1,374.04","1,367.24",-0.94,-0.07%,03:06:00
,KOSPI,"2,721.87","2,734.27","2,704.00",-1.59,-0.06%,02:32:30
,IDX Composite,"7,221.04","7,239.86","7,191.11",+35.00,+0.49%,22/05
,Nifty 50,"22,829.00","22,841.65","22,577.45",+231.20,+1.02%,03:21:02
,BSE Sensex,"74,856.71","74,880.11","74,158.35",+635.65,+0.86%,03:06:26
,PSEi Composite,"6,659.99","6,659.99","6,606.37",+52.77,+0.80%,02:50:00
,Karachi 100,"75,183.91","75,192.76","74,726.07",+227.24,+0.30%,02:50:30
,VN 30,"1,296.64","1,296.64","1,283.26",+5.18,+0.40%,03:20:31
,CSE All-Share,"12,348.84","12,367.54","12,216.97",+131.87,+1.08%,22/05
