,Name,Symbol,Last,Chg. %,Vol.,Time,
,VelocityShares 3x Long Crude S&P GSCI ER,UWT,12.250,0.00%,0,15/06,
,VelocityShares Daily 2x VIX Short Term ETN linked,TVIX,112.36,0.00%,0,02/07,
,United States Oil,USO,75.53,-1.36%,2.31M,30/05,
,iShares MSCI Japan,EWJ,68.06,+0.87%,4.10M,30/05,
,VelocityShares 3x Long Natural Gas linked to S&P G,UGAZF,0.07,0.00%,0,31/10,
,Invesco QQQ Trust,QQQ,451.55,-1.07%,26.66M,30/05,
,SPDR S&P 500,SPY,522.61,-0.66%,46.11M,30/05,
,Direxion Daily Gold Miners Index Bull 2X Shares,NUGT,42.15,+2.03%,1.10M,30/05,
,VanEck Vectors Russia,RSX,5.65,0.00%,0,11/01,
,iShares MSCI Emerging Markets,EEM,42.20,-0.30%,20.73M,30/05,
,Utilities Select Sector SPDR,XLU,71.46,+1.35%,8.96M,30/05,
,VanEck Vectors Gold Miners,GDX,35.56,+1.05%,16.11M,30/05,
,SPDR S&P Oil & Gas Exploration & Production,XOP,148.98,+0.46%,2.92M,30/05,
,VelocityShares 3x Inverse Natural Gas linked to S&,DGAZF,25.21,0.00%,0,15/06,
,Technology Select Sector SPDR,XLK,209.83,-2.28%,5.22M,30/05,
,Direxion Daily Gold Miners Bear 3X Shares,DUST,7.21,-1.37%,8.74M,30/05,
,iShares MSCI Eurozone,EZU,51.71,+0.77%,1.18M,30/05,
,Financial Select Sector SPDR,XLF,41.04,+0.54%,32.68M,30/05,
,WisdomTree Europe Hedged Equity,HEDJ,47.41,+0.62%,105.07K,30/05,
,Direxion Daily Junior Gold Miners Bear 2X Shares,JDST,3.450,-1.99%,10.13M,30/05,
,iShares Russell 2000,IWM,204.05,+0.95%,20.31M,30/05,
,Vanguard FTSE Developed Markets,VEA,50.28,+0.90%,9.02M,30/05,
,iShares MSCI Brazil Capped,EWZ,30.03,+0.50%,14.69M,30/05,
,iShares China Large-Cap,FXI,27.15,+0.11%,25.90M,30/05,
,WisdomTree Japan Hedged Equity,DXJ,109.42,+0.56%,277.69K,30/05,
,Xtrackers MSCI EAFE Hedged Equity,DBEF,41.56,+0.58%,826.49K,30/05,
,Energy Select Sector SPDR,XLE,90.94,+0.29%,11.37M,30/05,
,ProShares Ultra VIX Short-Term Futures,UVXY,27.04,-0.04%,6.81M,30/05,
,VanEck Vectors Junior Gold Miners,GDXJ,45.35,+1.16%,3.90M,30/05,
,iShares MSCI EAFE,EFA,80.41,+0.84%,7.46M,30/05,
,WisdomTree India Earnings,EPI,45.81,-0.39%,803.29K,30/05,
,Alerian MLP,AMLP,45.03,-0.51%,1.51M,30/05,
,iShares US Home Construction,ITB,104.64,+2.13%,2.06M,30/05,
,SPDR S&P Homebuilders,XHB,103.92,+1.72%,2.15M,30/05,
,ProShares UltraPro Short QQQ,SQQQ,10.02,+3.41%,112.32M,30/05,
,SPDR S&P Regional Banking,KRE,48.17,+1.75%,12.20M,30/05,
,ProShares Ultra Bloomberg Crude Oil,UCO,31.26,-2.25%,1.75M,30/05,
