,Name,Symbol,Last,Chg. %,Total Assets,Time,
,Vanguard Total Stock Market Index Instl Plus,VSMPX,236.00,-0.46%,628.52B,01:00:00,
,Vanguard 500 Index Admiral,VFIAX,484.12,-0.59%,484.24B,01:00:00,
,Fidelity 500 Index Institutional Prem,FXAIX,182.13,-0.59%,512.39B,01:00:00,
,Vanguard Total Stock Market Index Admiral,VTSAX,125.80,-0.45%,355.44B,01:00:00,
,Fidelity Government Money Market Fund,SPAXX,1.000,0%,296.42B,30/05,
,Fidelityֲ® Government Cash Reserves,FDRXX,1.000,0%,222.34B,30/05,
,Vanguard Total International Stock Index Inv,VGTSX,19.55,+0.46%,191.19B,01:00:00,
,Vanguard Institutional Index Instl Pl,VIIIX,431.73,-0.59%,160.8B,01:00:00,
,Fidelity Contrafund,FCNTX,19.28,-0.93%,128.94B,01:00:00,
,Fidelity Contrafund K,FCNKX,19.34,-0.92%,128.94B,01:00:00,
,Vanguard Total Bond Market II Index Fund Investor,VTBIX,9.27,+0.43%,135.87B,01:00:00,
,Vanguard 500 Index Institutional Select,VFFSX,256.64,-0.58%,163.76B,01:00:00,
,Vanguard Total Bond Market II Idx I,VTBNX,9.27,+0.43%,143.22B,01:00:00,
,American Funds Growth Fund of America A,AGTHX,70.54,-0.90%,131.95B,01:00:00,
,Vanguard Institutional Index I,VINIX,431.73,-0.59%,115.54B,01:00:00,
,Vanguard Total Bond Market Index Adm,VBTLX,9.39,+0.43%,96.18B,01:00:00,
,Vanguard Cash Reserves Federal Money Market Fund A,VMRXX,1.000,0%,117.55B,08:00:00,
,American Funds American Balanced A,ABALX,33.53,-0.12%,102.68B,01:00:00,
,Vanguard Wellington Admiral,VWENX,74.78,-0.28%,94.88B,01:00:00,
,VA CollegeAmerica 529 AMCAP 529A,0P0000.,40.570,-1.00%,85.7B,08:00:00,
,American Funds Income Fund of Amer A,AMECX,24.00,+0.54%,74.69B,01:00:00,
,Vanguard Target Retirement 2030 Inv,VTHRX,36.95,+0.11%,89.87B,01:00:00,
,Vanguard Target Retirement 2035 Inv,VTTHX,23.20,+0.04%,93.16B,01:00:00,
,Vanguard Target Retirement 2025 Fund Investor Shar,VTTVX,19.010,+0.16%,74.62B,08:00:00,
,American Funds Washington Mutual A,AWSHX,61.16,-0.05%,82.27B,01:00:00,
,Vanguard Total Stock Market Index I,VITSX,125.82,-0.46%,84.68B,01:00:00,
,Dodge & Cox Stock,DODGX,253.48,+0.53%,63.89B,01:00:00,
,PIMCO Income Instl,PIMIX,10.47,+0.29%,87.6B,01:00:00,
,Fidelity Total Market Index Instl Prem,FSKAX,143.84,-0.47%,87.5B,01:00:00,
,Vanguard Interm-Term Tx-Ex Adm,VWIUX,13.39,-0.07%,69.38B,01:00:00,
,American Funds Invmt Co of Amer A,AIVSX,55.29,-0.68%,85.25B,01:00:00,
,Vanguard Target Retirement 2040 Inv,VFORX,41.50,+0.02%,82.52B,01:00:00,
,American Funds Europacific Growth R6,RERGX,58.86,0%,65.85B,01:00:00,
,Schwab S&P 500 Index,SWPPX,80.69,-0.59%,93.14B,01:00:00,
,Vanguard Total Intl Stock Index Admiral,VTIAX,32.71,+0.46%,73.1B,01:00:00,
,Vanguard Target Retirement 2045 Inv,VTIVX,28.34,0%,80.1B,01:00:00,
,American Funds Capital Income Builder A,CAIBX,67.65,+0.31%,59.68B,01:00:00,
,Vanguard PRIMECAP Adm,VPMAX,171.74,-0.17%,67.93B,01:00:00,
,American Funds Fundamental Investors Class A,ANCFX,79.14,-0.62%,68.95B,01:00:00,
,Dodge & Cox Income,DODIX,12.33,+0.41%,62.8B,01:00:00,
,Fidelity US Bond Index Instl Prem,FXNAX,10.09,+0.40%,55.87B,01:00:00,
,Vanguard Dividend Growth Inv,VDIGX,37.95,+0.34%,51.49B,01:00:00,
,Vanguard Mid Cap Index Adm,VIMAX,300.30,+0.46%,58.11B,01:00:00,
,Strategic Advisers Core,FCSAX,13.09,-0.61%,59.85B,08:00:00,
,Vanguard Equity-Income Adm,VEIRX,88.99,+0.68%,49.84B,01:00:00,
,Vanguard Growth Index Adm,VIGAX,180.45,-1.50%,72.29B,01:00:00,
,Vanguard Target Retirement 2050 Inv,VFIFX,47.46,-0.04%,67.23B,01:00:00,
,American Funds New Perspective A,ANWPX,60.74,-0.34%,59.24B,01:00:00,
,Vanguard Wellesley Income Admiral,VWIAX,60.58,+0.50%,40.9B,01:00:00,
,Vanguard Small Cap Index Adm,VSMAX,105.49,+0.74%,51.46B,01:00:00,
,American Funds Capital World Gr&Inc A,CWGIX,64.88,-0.28%,55.2B,01:00:00,
,Strategic Advisers Core Income,FPCIX,8.90,+0.45%,43.87B,01:00:00,
,PIMCO Total Return Instl,PTTRX,8.42,+0.48%,40.65B,01:00:00,
,Vanguard Total Stock Mkt Idx Instl Sel,VSTSX,247.69,-0.45%,66.95B,01:00:00,
,Vanguard Short-Term Investment-Grade Adm,VFSUX,10.15,+0.20%,36.54B,01:00:00,
,Fidelity Balanced,FBALX,28.69,-0.35%,42.26B,01:00:00,
,Fidelity Balanced K,FBAKX,28.69,-0.35%,42.26B,01:00:00,
,Vanguard Target Retirement 2020 Inv,VTWNX,27.51,+0.18%,36.93B,01:00:00,
,American Funds American Balanced R6,RLBGX,33.56,-0.09%,49.64B,01:00:00,
,Vanguard Total Bond Market Index I,VBTIX,9.39,+0.43%,42.69B,01:00:00,
,Vanguard Windsor II Admiral,VWNAX,81.64,-0.05%,46.48B,01:00:00,
,Vanguard Health Care Admiral,VGHAX,89.19,+0.38%,38.53B,01:00:00,
,Vanguard Balanced Index Adm,VBIAX,46.31,-0.11%,42.49B,01:00:00,
,Metropolitan West Total Return Bd I,MWTIX,8.82,+0.46%,27.8B,01:00:00,
,Vanguard Target Retirement Income Inv,VTINX,13.17,+0.23%,35.14B,01:00:00,
,American Funds American Mutual A,AMRMX,53.38,+0.19%,38.51B,01:00:00,
,American Funds Growth Fund of Amer R6,RGAGX,70.69,-0.90%,41.54B,01:00:00,
,Dodge & Cox International Stock,DODFX,52.28,+0.79%,39.53B,01:00:00,
,Fidelity Growth Company,FDGRX,37.83,-1.94%,49.88B,01:00:00,
,Fidelity Total Bond,FTBFX,9.31,+0.32%,33.34B,01:00:00,
,Fidelity Advisor Total Bond A,FEPAX,9.32,+0.43%,33.34B,01:00:00,
,Fidelity Advisor Total Bond C,FCEPX,9.32,+0.43%,33.34B,01:00:00,
,Fidelity Advisor Total Bond I,FEPIX,9.30,+0.43%,33.34B,01:00:00,
,Fidelity Advisor Total Bond T,FEPTX,9.30,+0.43%,33.34B,01:00:00,
,Fidelity Advisor Total Bond Z,FBKWX,9.30,+0.43%,33.34B,01:00:00,
,NY New York’s 529 Program Direct Growth Portfolio,0P0000.,47.080,+0.02%,33.25B,08:00:00,
,Baird Aggregate Bond Inst,BAGIX,9.56,+0.42%,44.43B,01:00:00,
,Fidelity Blue Chip Growth,FBGRX,208.75,-1.39%,53.49B,01:00:00,
,Vanguard International Growth Adm,VWILX,110.68,+0.20%,36.06B,01:00:00,
,Fidelity International Index InstlPrm,FSPSX,50.24,+0.66%,48.57B,01:00:00,
,Vanguard Total Intl Stock Index I,VTSNX,130.80,+0.46%,39.57B,01:00:00,
,Vanguard Value Index Adm,VVIAX,61.93,+0.49%,34.84B,01:00:00,
,Franklin Income A,FKINX,2.32,0%,29.83B,01:00:00,
,American Funds Washington Mutual R6,RWMGX,61.21,-0.05%,37.74B,01:00:00,
,Vanguard Instl Intrm-Trm Bd Instl Plus,VIITX,20.98,+0.29%,30.94B,01:00:00,
,Vanguard Ltd-Term Tx-Ex Adm,VMLUX,10.72,0%,28.49B,01:00:00,
,Fidelity Extended Market Index InstlPrm,FSMAX,80.51,+0.32%,36.56B,01:00:00,
,American Funds AMCAP A,AMCPX,41.25,-1.01%,38.19B,01:00:00,
,Fidelity Series Investment Grade Bond,FSIGX,9.78,+0.41%,34.56B,01:00:00,
,Fidelity Series Global ex US Index,FSGEX,14.65,+0.34%,44.6B,01:00:00,
,DFA US Core Equity 2 I,DFQTX,35.31,-0.03%,32.74B,01:00:00,
,Bridge Builder Core Plus Bond,BBCPX,8.60,+0.47%,33.49B,01:00:00,
,Vanguard Target Retirement 2055 Inv,VFFVX,52.96,-0.04%,44.64B,01:00:00,
,Fidelity Advisor New Insights I,FINSX,40.23,-1.01%,28.47B,01:00:00,
,Fidelity Advisor New Insights A,FNIAX,38.40,-1.01%,28.47B,01:00:00,
,Fidelity Advisor New Insights C,FNICX,28.32,-1.01%,28.47B,01:00:00,
,Fidelity Advisor New Insights T,FNITX,35.68,-1.00%,28.47B,01:00:00,
,Fidelity Advisor New Insights Z,FZANX,40.42,-1.00%,28.47B,01:00:00,
,BlackRock Strategic Income Opps Instl,BSIIX,9.30,+0.11%,23.95B,01:00:00,
,Vanguard Total Bond Market Idx InstlPls,VBMPX,9.39,+0.43%,29.7B,01:00:00,
