,Name,Yield,Prev.,High,Low,Chg.,Chg. %,Time,
,Austria 3M,3.765,3.809,3.765,3.765,0.000,0.00%,01:50:46,
,Austria 6M,3.684,3.699,3.711,3.673,-0.015,-0.42%,05:42:26,
,Austria 1Y,3.550,3.623,3.710,3.534,-0.073,-2.01%,05:43:56,
,Austria 2Y,3.192,3.334,3.382,3.216,-0.142,-4.26%,05:43:54,
,Austria 3Y,3.063,3.067,3.162,3.048,-0.004,-0.13%,05:43:55,
,Austria 4Y,3.013,2.995,3.084,2.988,+0.018,+0.60%,05:43:55,
,Austria 5Y,3.039,3.021,3.105,3.012,+0.018,+0.60%,05:43:55,
,Austria 6Y,3.047,3.022,3.086,3.016,+0.025,+0.83%,05:43:56,
,Austria 7Y,3.065,3.044,3.132,3.025,+0.021,+0.67%,05:43:58,
,Austria 8Y,3.099,3.076,3.133,3.077,+0.022,+0.73%,05:43:59,
,Austria 9Y,3.138,3.113,3.180,3.108,+0.025,+0.82%,05:43:57,
,Austria 10Y,3.174,3.141,3.213,3.138,+0.033,+1.05%,05:43:53,
,Austria 15Y,3.326,3.331,3.406,3.307,-0.004,-0.14%,05:43:55,
,Austria 20Y,3.357,3.347,3.413,3.338,+0.010,+0.30%,05:43:57,
,Austria 25Y,3.343,3.336,3.388,3.326,+0.007,+0.22%,05:43:58,
,Austria 30Y,3.284,3.282,3.330,3.274,+0.002,+0.06%,05:43:58,
,Austria 40Y,3.343,3.353,3.385,3.335,-0.010,-0.30%,05:43:57,
,Austria 50Y,3.043,3.051,3.075,3.026,-0.008,-0.26%,30/05,
