,Name,Last,High,Low,Chg.,,
,Dow Jones,"38,686.32","38,719.43","38,092.27",+574.84,+1.51%,31/05
,S&P 500 derived,"5,277.51","5,280.33","5,191.68",+42.03,+0.80%,31/05
,Nasdaq,"16,735.02","16,789.27","16,445.54",-2.06,-0.01%,31/05
,Small Cap 2000 derived,"2,070.13","2,073.67","2,047.40",+13.53,+0.66%,31/05
,S&P 500 VIX derived,12.92,14.87,12.84,-1.55,-10.71%,31/05
,S&P/TSX,"22,269.12","22,271.16","21,966.17",+197.41,+0.89%,31/05
,Bovespa,"122,098","122,837","121,929",-609,-0.50%,31/05
,S&P/BMV IPC,"55,179.24","55,588.20","54,839.26",-173.32,-0.31%,31/05
,MSCI World,"3,447.98","3,448.20","3,446.79",+2.81,+0.08%,20:19:00
,DAX derived,"18,483.07","18,542.27","18,426.72",-13.72,-0.07%,31/05
,FTSE 100 derived,"8,275.38","8,289.22","8,231.05",+44.33,+0.54%,31/05
,CAC 40,"7,992.87","7,996.89","7,960.17",+14.36,+0.18%,31/05
,Euro Stoxx 50 derived,"4,979.55","5,001.35","4,966.85",-2.63,-0.05%,31/05
,AEX,903.61,909.43,902.32,-1.97,-0.22%,31/05
,IBEX 35 derived,"11,322.00","11,361.20","11,278.60",-16.20,-0.14%,31/05
,FTSE MIB derived,"34,492.41","34,552.62","34,319.76",+44.84,+0.13%,31/05
,SMI derived,"12,011.06","12,012.09","11,889.89",+141.16,+1.19%,31/05
,PSI,"6,870.81","6,870.81","6,829.76",+31.31,+0.46%,31/05
,BEL 20 derived,"3,918.80","3,922.60","3,896.10",+10.30,+0.26%,31/05
,ATX,"3,688.37","3,688.37","3,649.03",+36.59,+1.00%,31/05
,OMXS30,"2,604.10","2,606.18","2,584.64",+11.03,+0.43%,31/05
,OMXC25,"1,982.20","1,985.93","1,964.47",+13.28,+0.67%,31/05
,MOEX,"3,212.40","3,270.01","3,211.19",-69.78,-2.13%,31/05
,RTSI,"1,122.53","1,140.51","1,122.25",-28.35,-2.46%,31/05
,WIG20,"2,485.53","2,501.62","2,453.68",+21.55,+0.87%,31/05
,Budapest SE,"67,906.51","68,783.59","67,901.56",-188.68,-0.28%,31/05
,BIST 100,"10,400.48","10,724.90","10,358.55",-80.82,-0.77%,31/05
,TA 35,"1,996.91","2,024.17","1,996.93",-3.02,-0.15%,08:39:59
,Tadawul All Share,"11,625.10","11,625.10","11,443.55",+121.61,+1.06%,08:15:57
,Nikkei 225 derived,"38,869.50","38,931.50","38,741.50",+374.00,+0.97%,20:19:42
,S&P/ASX 200,"7,761.70","7,765.10","7,701.70",+60.00,+0.78%,20:18:44
,DJ New Zealand,334.69,335.08,334.62,-0.01,0.00%,20:19:41
,Shanghai,"3,086.81","3,107.60","3,086.81",-4.86,-0.16%,31/05
,SZSE Component,"9,364.38","9,455.33","9,364.38",-20.35,-0.22%,31/05
,China A50,"12,452.30","12,592.37","12,452.30",-62.64,-0.50%,31/05
,DJ Shanghai,422.20,425.35,422.20,0.00,0.00%,31/05
,Hang Seng derived,"18,079.61","18,551.18","18,077.39",-150.58,-0.83%,31/05
,Taiwan Weighted,"21,174.22","21,539.03","21,174.22",-190.26,-0.89%,31/05
,SET,"1,345.66","1,359.25","1,342.62",-5.86,-0.43%,31/05
,KOSPI,"2,670.45","2,671.55","2,657.81",+33.93,+1.29%,20:19:00
,IDX Composite,"6,977.06","7,102.22","6,959.23",-57.08,-0.81%,31/05
,Nifty 50,"22,530.70","22,653.75","22,465.10",+42.05,+0.19%,31/05
,BSE Sensex,"73,961.31","74,478.89","73,765.15",+75.71,+0.10%,31/05
,PSEi Composite,"6,433.10","6,433.10","6,356.52",+61.35,+0.96%,31/05
,Karachi 100,"75,881.85","75,953.74","74,989.26",0.00,+1.34%,31/05
,VN 30,"1,275.97","1,283.30","1,273.85",-3.32,-0.26%,31/05
,CSE All-Share,"12,106.49","12,198.35","12,106.49",-63.64,-0.52%,31/05
