,Name,Last,High,Low,Chg.,Chg. %,Vol.,Time
,NVIDIA,949.50,960.20,932.49,-4.36,-0.46%,42.46M,22/05
,Tesla,180.11,183.80,178.12,-6.49,-3.48%,85.73M,22/05
,Microsoft,430.52,432.41,427.13,+1.48,+0.35%,17.96M,22/05
,Snowflake,163.29,164.84,162.13,+0.58,+0.36%,6.98M,22/05
,AMD,165.52,169.81,163.86,+0.86,+0.52%,45.97M,22/05
,Moderna,163.33,164.88,142.81,+19.64,+13.67%,12.62M,22/05
,Apple,190.90,192.82,190.27,-1.45,-0.75%,34.47M,22/05
,Target,143.27,145.67,139.98,-12.51,-8.03%,18.62M,22/05
,PDD Holdings DRC,147.09,155.00,144.12,+1.64,+1.13%,29.49M,22/05
,Meta Platforms,467.78,473.72,465.65,+3.15,+0.68%,9.83M,22/05
,Taiwan Semiconductor,156.24,157.23,154.54,+2.57,+1.67%,12.05M,22/05
,Amazon.com,183.13,185.22,181.97,-0.02,-0.01%,27.9M,22/05
,Pfizer,29.60,29.63,28.42,+1.04,+3.64%,46.11M,22/05
,Shopify Inc,58.72,60.11,58.21,+1.70,+2.98%,17.73M,22/05
,Super Micro Computer,873.27,911.65,862.51,-25.68,-2.86%,4.99M,22/05
,Intel,31.42,32.07,31.10,-0.32,-1.01%,36.45M,22/05
,First Solar,251.75,253.99,213.19,+39.64,+18.69%,14.37M,22/05
,Lululemon Athletica,299.63,307.92,295.74,-23.35,-7.23%,8.9M,22/05
,Alphabet A,176.38,177.15,175.21,-1.47,-0.83%,17.72M,22/05
,GameStop Corp,21.12,22.25,20.76,-1.00,-4.52%,43.07M,22/05
,Alibaba ADR,82.69,85.11,82.68,-3.44,-3.99%,18.76M,22/05
,Coinbase Global,231.51,238.77,221.21,+5.73,+2.54%,8.86M,22/05
,Novavax,15.700,17.400,14.800,+0.790,+5.30%,30.06M,22/05
,Qualcomm,202.93,204.84,201.70,+2.08,+1.04%,11.11M,22/05
,Marathon Digital,21.24,22.86,20.90,-0.11,-0.52%,47.33M,22/05
,AMC Entertainment,5.050,5.230,4.450,+0.400,+8.61%,60.46M,22/05
,PayPal,62.19,63.80,61.85,-1.91,-2.98%,14.5M,22/05
,Palantir,21.18,21.42,21.08,-0.06,-0.28%,21.24M,22/05
,Nio A ADR,5.240,5.310,5.140,-0.010,-0.19%,35.72M,22/05
,Micron,126.28,127.87,125.24,-1.22,-0.96%,10.8M,22/05
